System Uptime[ms] 66195,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.81,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.19,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 4.09,Airdata VTAS[m/s] 4.05,BMP280_0 P[Pa] 99939.25, BMP280_0 Tpackage[C] 13.49, HTU21DF_0 RH[%] 84.46, HTU21DF_0 Tpackage[C] 12.18, D6F-PH0025AD1_0 q[Pa] 9.58, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 8.17, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.13, MPU6050_0 roll[deg] 0.06, VL53L1X_0 s[m] 0.09, ;
System Uptime[ms] 66858,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.20,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 3.67,Airdata VTAS[m/s] 3.64,BMP280_0 P[Pa] 99940.33, BMP280_0 Tpackage[C] 13.50, HTU21DF_0 RH[%] 84.39, HTU21DF_0 Tpackage[C] 12.19, D6F-PH0025AD1_0 q[Pa] 7.35, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 2.99, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.16, MPU6050_0 roll[deg] 0.39, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 67492,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.20,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 3.05,Airdata VTAS[m/s] 3.02,BMP280_0 P[Pa] 99940.16, BMP280_0 Tpackage[C] 13.50, HTU21DF_0 RH[%] 84.39, HTU21DF_0 Tpackage[C] 12.20, D6F-PH0025AD1_0 q[Pa] 5.14, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 3.24, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.19, MPU6050_0 roll[deg] 0.74, VL53L1X_0 s[m] 0.09, ;
System Uptime[ms] 68131,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.22,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.84,Airdata VTAS[m/s] 2.81,BMP280_0 P[Pa] 99941.17, BMP280_0 Tpackage[C] 13.52, HTU21DF_0 RH[%] 84.48, HTU21DF_0 Tpackage[C] 12.22, D6F-PH0025AD1_0 q[Pa] 4.84, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 4.53, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.40, MPU6050_0 roll[deg] 1.46, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 68770,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.81,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.23,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 3.09,Airdata VTAS[m/s] 3.06,BMP280_0 P[Pa] 99941.81, BMP280_0 Tpackage[C] 13.53, HTU21DF_0 RH[%] 84.40, HTU21DF_0 Tpackage[C] 12.22, D6F-PH0025AD1_0 q[Pa] 7.29, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 7.62, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.53, MPU6050_0 roll[deg] 2.51, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 69408,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.81,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.22,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 3.14,Airdata VTAS[m/s] 3.11,BMP280_0 P[Pa] 99939.86, BMP280_0 Tpackage[C] 13.52, HTU21DF_0 RH[%] 84.26, HTU21DF_0 Tpackage[C] 12.22, D6F-PH0025AD1_0 q[Pa] 5.82, D6F-PH0025AD1_0 Tpackage[C] 10.80, D6F-PH0025AD1_1 q[Pa] 5.67, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.37, MPU6050_0 roll[deg] 3.36, VL53L1X_0 s[m] 0.12, ;
System Uptime[ms] 70047,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.81,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.23,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 3.25,Airdata VTAS[m/s] 3.23,BMP280_0 P[Pa] 99942.25, BMP280_0 Tpackage[C] 13.53, HTU21DF_0 RH[%] 84.09, HTU21DF_0 Tpackage[C] 12.23, D6F-PH0025AD1_0 q[Pa] 7.47, D6F-PH0025AD1_0 Tpackage[C] 10.80, D6F-PH0025AD1_1 q[Pa] 7.56, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.45, MPU6050_0 roll[deg] 3.91, VL53L1X_0 s[m] 0.11, ;
System Uptime[ms] 70686,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.24,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 3.10,Airdata VTAS[m/s] 3.07,BMP280_0 P[Pa] 99942.67, BMP280_0 Tpackage[C] 13.54, HTU21DF_0 RH[%] 83.99, HTU21DF_0 Tpackage[C] 12.25, D6F-PH0025AD1_0 q[Pa] 5.67, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 1.75, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.31, MPU6050_0 roll[deg] 4.08, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 71351,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.81,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.23,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 3.29,Airdata VTAS[m/s] 3.26,BMP280_0 P[Pa] 99938.63, BMP280_0 Tpackage[C] 13.53, HTU21DF_0 RH[%] 83.87, HTU21DF_0 Tpackage[C] 12.25, D6F-PH0025AD1_0 q[Pa] 7.58, D6F-PH0025AD1_0 Tpackage[C] 10.80, D6F-PH0025AD1_1 q[Pa] 8.73, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.23, MPU6050_0 roll[deg] 4.06, VL53L1X_0 s[m] 0.10, ;
System Uptime[ms] 71984,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.24,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 3.53,Airdata VTAS[m/s] 3.50,BMP280_0 P[Pa] 99941.86, BMP280_0 Tpackage[C] 13.54, HTU21DF_0 RH[%] 83.71, HTU21DF_0 Tpackage[C] 12.26, D6F-PH0025AD1_0 q[Pa] 7.95, D6F-PH0025AD1_0 Tpackage[C] 10.80, D6F-PH0025AD1_1 q[Pa] 8.48, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.11, MPU6050_0 roll[deg] 4.02, VL53L1X_0 s[m] 0.10, ;
