System Uptime[ms] 30376,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.47,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.68,Airdata VTAS[m/s] 2.66,BMP280_0 P[Pa] 99914.03, BMP280_0 Tpackage[C] 13.77, HTU21DF_0 RH[%] 83.48, HTU21DF_0 Tpackage[C] 12.58, D6F-PH0025AD1_0 q[Pa] 3.87, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 3.19, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.10, MPU6050_0 roll[deg] -2.14, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 31039,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.48,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.49,Airdata VTAS[m/s] 2.47,BMP280_0 P[Pa] 99913.36, BMP280_0 Tpackage[C] 13.78, HTU21DF_0 RH[%] 83.32, HTU21DF_0 Tpackage[C] 12.58, D6F-PH0025AD1_0 q[Pa] 2.13, D6F-PH0025AD1_0 Tpackage[C] 10.80, D6F-PH0025AD1_1 q[Pa] 3.04, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.08, MPU6050_0 roll[deg] -2.16, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 31673,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.47,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.46,Airdata VTAS[m/s] 2.43,BMP280_0 P[Pa] 99911.67, BMP280_0 Tpackage[C] 13.77, HTU21DF_0 RH[%] 83.30, HTU21DF_0 Tpackage[C] 12.58, D6F-PH0025AD1_0 q[Pa] 3.98, D6F-PH0025AD1_0 Tpackage[C] 10.80, D6F-PH0025AD1_1 q[Pa] 2.89, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.08, MPU6050_0 roll[deg] -2.22, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 32312,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.48,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.34,Airdata VTAS[m/s] 2.32,BMP280_0 P[Pa] 99913.47, BMP280_0 Tpackage[C] 13.78, HTU21DF_0 RH[%] 83.31, HTU21DF_0 Tpackage[C] 12.59, D6F-PH0025AD1_0 q[Pa] 2.66, D6F-PH0025AD1_0 Tpackage[C] 10.80, D6F-PH0025AD1_1 q[Pa] 2.50, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.09, MPU6050_0 roll[deg] -2.19, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 32951,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.49,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.16,Airdata VTAS[m/s] 2.14,BMP280_0 P[Pa] 99915.70, BMP280_0 Tpackage[C] 13.79, HTU21DF_0 RH[%] 83.42, HTU21DF_0 Tpackage[C] 12.59, D6F-PH0025AD1_0 q[Pa] 1.60, D6F-PH0025AD1_0 Tpackage[C] 10.80, D6F-PH0025AD1_1 q[Pa] 1.95, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.04, MPU6050_0 roll[deg] -2.20, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 33589,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.49,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.09,Airdata VTAS[m/s] 2.07,BMP280_0 P[Pa] 99916.89, BMP280_0 Tpackage[C] 13.79, HTU21DF_0 RH[%] 83.41, HTU21DF_0 Tpackage[C] 12.60, D6F-PH0025AD1_0 q[Pa] 2.13, D6F-PH0025AD1_0 Tpackage[C] 10.80, D6F-PH0025AD1_1 q[Pa] 3.14, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.01, MPU6050_0 roll[deg] -2.41, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 34228,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.49,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.24,Airdata VTAS[m/s] 2.22,BMP280_0 P[Pa] 99913.23, BMP280_0 Tpackage[C] 13.79, HTU21DF_0 RH[%] 83.34, HTU21DF_0 Tpackage[C] 12.60, D6F-PH0025AD1_0 q[Pa] 4.27, D6F-PH0025AD1_0 Tpackage[C] 10.80, D6F-PH0025AD1_1 q[Pa] 3.39, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.03, MPU6050_0 roll[deg] -2.78, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 34867,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.49,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.35,Airdata VTAS[m/s] 2.33,BMP280_0 P[Pa] 99918.75, BMP280_0 Tpackage[C] 13.79, HTU21DF_0 RH[%] 83.44, HTU21DF_0 Tpackage[C] 12.60, D6F-PH0025AD1_0 q[Pa] 4.41, D6F-PH0025AD1_0 Tpackage[C] 10.80, D6F-PH0025AD1_1 q[Pa] 3.44, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.04, MPU6050_0 roll[deg] -2.85, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 35531,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.80,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.50,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.56,Airdata VTAS[m/s] 2.53,BMP280_0 P[Pa] 99914.52, BMP280_0 Tpackage[C] 13.80, HTU21DF_0 RH[%] 83.65, HTU21DF_0 Tpackage[C] 12.60, D6F-PH0025AD1_0 q[Pa] 5.47, D6F-PH0025AD1_0 Tpackage[C] 10.80, D6F-PH0025AD1_1 q[Pa] 5.98, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.07, MPU6050_0 roll[deg] -2.73, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 36165,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.50,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.65,Airdata VTAS[m/s] 2.63,BMP280_0 P[Pa] 99911.69, BMP280_0 Tpackage[C] 13.80, HTU21DF_0 RH[%] 83.72, HTU21DF_0 Tpackage[C] 12.63, D6F-PH0025AD1_0 q[Pa] 4.56, D6F-PH0025AD1_0 Tpackage[C] 10.80, D6F-PH0025AD1_1 q[Pa] 3.88, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.05, MPU6050_0 roll[deg] -2.62, VL53L1X_0 s[m] 0.07, ;
