System Uptime[ms] 28185,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.62,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.47,Airdata VTAS[m/s] 2.44,BMP280_0 P[Pa] 99921.59, BMP280_0 Tpackage[C] 12.92, HTU21DF_0 RH[%] 83.74, HTU21DF_0 Tpackage[C] 11.57, D6F-PH0025AD1_0 q[Pa] 4.93, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 4.03, D6F-PH0025AD1_1 Tpackage[C] 11.00, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.02, MPU6050_0 roll[deg] 2.82, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 28849,System VBATTcell0[V] 3.88,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.63,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.61,Airdata VTAS[m/s] 2.58,BMP280_0 P[Pa] 99923.28, BMP280_0 Tpackage[C] 12.93, HTU21DF_0 RH[%] 83.73, HTU21DF_0 Tpackage[C] 11.56, D6F-PH0025AD1_0 q[Pa] 5.22, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 4.82, D6F-PH0025AD1_1 Tpackage[C] 11.00, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.01, MPU6050_0 roll[deg] 2.84, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 29482,System VBATTcell0[V] 3.88,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.63,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.67,Airdata VTAS[m/s] 2.65,BMP280_0 P[Pa] 99921.58, BMP280_0 Tpackage[C] 12.93, HTU21DF_0 RH[%] 83.74, HTU21DF_0 Tpackage[C] 11.59, D6F-PH0025AD1_0 q[Pa] 5.03, D6F-PH0025AD1_0 Tpackage[C] 10.10, D6F-PH0025AD1_1 q[Pa] 3.87, D6F-PH0025AD1_1 Tpackage[C] 11.00, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.00, MPU6050_0 roll[deg] 2.82, VL53L1X_0 s[m] 0.07, ;
System Uptime[ms] 30121,System VBATTcell0[V] 3.88,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.64,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.59,Airdata VTAS[m/s] 2.56,BMP280_0 P[Pa] 99920.16, BMP280_0 Tpackage[C] 12.94, HTU21DF_0 RH[%] 83.85, HTU21DF_0 Tpackage[C] 11.60, D6F-PH0025AD1_0 q[Pa] 3.29, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 3.72, D6F-PH0025AD1_1 Tpackage[C] 11.00, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.02, MPU6050_0 roll[deg] 2.85, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 30760,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.64,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.56,Airdata VTAS[m/s] 2.54,BMP280_0 P[Pa] 99921.35, BMP280_0 Tpackage[C] 12.94, HTU21DF_0 RH[%] 83.98, HTU21DF_0 Tpackage[C] 11.60, D6F-PH0025AD1_0 q[Pa] 4.45, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 2.59, D6F-PH0025AD1_1 Tpackage[C] 11.00, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.02, MPU6050_0 roll[deg] 2.92, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 31399,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.80,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.64,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.73,Airdata VTAS[m/s] 2.71,BMP280_0 P[Pa] 99919.93, BMP280_0 Tpackage[C] 12.94, HTU21DF_0 RH[%] 84.09, HTU21DF_0 Tpackage[C] 11.60, D6F-PH0025AD1_0 q[Pa] 6.07, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 6.57, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.04, MPU6050_0 roll[deg] 3.06, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 32037,System VBATTcell0[V] 3.88,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.65,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.99,Airdata VTAS[m/s] 2.96,BMP280_0 P[Pa] 99919.64, BMP280_0 Tpackage[C] 12.95, HTU21DF_0 RH[%] 84.16, HTU21DF_0 Tpackage[C] 11.62, D6F-PH0025AD1_0 q[Pa] 6.72, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 5.91, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.02, MPU6050_0 roll[deg] 3.04, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 32676,System VBATTcell0[V] 3.88,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.65,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.97,Airdata VTAS[m/s] 2.94,BMP280_0 P[Pa] 99923.63, BMP280_0 Tpackage[C] 12.95, HTU21DF_0 RH[%] 84.10, HTU21DF_0 Tpackage[C] 11.62, D6F-PH0025AD1_0 q[Pa] 5.42, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 4.28, D6F-PH0025AD1_1 Tpackage[C] 11.00, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.02, MPU6050_0 roll[deg] 3.09, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 33340,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.77,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.67,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 3.01,Airdata VTAS[m/s] 2.97,BMP280_0 P[Pa] 99919.88, BMP280_0 Tpackage[C] 12.97, HTU21DF_0 RH[%] 84.06, HTU21DF_0 Tpackage[C] 11.63, D6F-PH0025AD1_0 q[Pa] 6.39, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 5.41, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.08, MPU6050_0 roll[deg] 3.20, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 33974,System VBATTcell0[V] 3.89,System VBATTcell1[V] 3.84,System VBATTcell2[V] 3.79,Airdata rho[kg/m3] 1.25,Airdata T[C] 4.67,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.99,Airdata VTAS[m/s] 2.96,BMP280_0 P[Pa] 99923.70, BMP280_0 Tpackage[C] 12.97, HTU21DF_0 RH[%] 84.00, HTU21DF_0 Tpackage[C] 11.63, D6F-PH0025AD1_0 q[Pa] 5.28, D6F-PH0025AD1_0 Tpackage[C] 10.40, D6F-PH0025AD1_1 q[Pa] 5.16, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.01, MPU6050_0 roll[deg] 3.28, VL53L1X_0 s[m] 0.08, ;
