System Uptime[ms] 43035,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.54,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.81,Airdata VTAS[m/s] 1.79,BMP280_0 P[Pa] 99939.38, BMP280_0 Tpackage[C] 13.84, HTU21DF_0 RH[%] 82.10, HTU21DF_0 Tpackage[C] 12.45, D6F-PH0025AD1_0 q[Pa] 2.03, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 1.55, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.07, MPU6050_0 roll[deg] 3.67, VL53L1X_0 s[m] 0.09, ;
System Uptime[ms] 43700,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.55,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.77,Airdata VTAS[m/s] 1.75,BMP280_0 P[Pa] 99936.98, BMP280_0 Tpackage[C] 13.85, HTU21DF_0 RH[%] 82.25, HTU21DF_0 Tpackage[C] 12.47, D6F-PH0025AD1_0 q[Pa] 1.89, D6F-PH0025AD1_0 Tpackage[C] 10.80, D6F-PH0025AD1_1 q[Pa] 0.87, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.11, MPU6050_0 roll[deg] 3.60, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 44334,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.55,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.70,Airdata VTAS[m/s] 1.69,BMP280_0 P[Pa] 99938.83, BMP280_0 Tpackage[C] 13.85, HTU21DF_0 RH[%] 82.29, HTU21DF_0 Tpackage[C] 12.47, D6F-PH0025AD1_0 q[Pa] 1.89, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 0.32, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.06, MPU6050_0 roll[deg] 3.48, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 44972,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.55,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.57,Airdata VTAS[m/s] 1.55,BMP280_0 P[Pa] 99940.42, BMP280_0 Tpackage[C] 13.85, HTU21DF_0 RH[%] 82.21, HTU21DF_0 Tpackage[C] 12.48, D6F-PH0025AD1_0 q[Pa] 0.88, D6F-PH0025AD1_0 Tpackage[C] 10.80, D6F-PH0025AD1_1 q[Pa] 0.47, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] -0.01, MPU6050_0 roll[deg] 3.43, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 45611,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.56,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.57,Airdata VTAS[m/s] 1.55,BMP280_0 P[Pa] 99934.67, BMP280_0 Tpackage[C] 13.86, HTU21DF_0 RH[%] 82.07, HTU21DF_0 Tpackage[C] 12.48, D6F-PH0025AD1_0 q[Pa] 2.03, D6F-PH0025AD1_0 Tpackage[C] 10.80, D6F-PH0025AD1_1 q[Pa] 1.30, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.04, MPU6050_0 roll[deg] 3.50, VL53L1X_0 s[m] 0.09, ;
System Uptime[ms] 46250,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.56,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.64,Airdata VTAS[m/s] 1.62,BMP280_0 P[Pa] 99940.34, BMP280_0 Tpackage[C] 13.86, HTU21DF_0 RH[%] 81.94, HTU21DF_0 Tpackage[C] 12.50, D6F-PH0025AD1_0 q[Pa] 1.80, D6F-PH0025AD1_0 Tpackage[C] 10.80, D6F-PH0025AD1_1 q[Pa] 3.13, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.05, MPU6050_0 roll[deg] 3.45, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 46889,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.57,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.87,Airdata VTAS[m/s] 1.85,BMP280_0 P[Pa] 99939.53, BMP280_0 Tpackage[C] 13.87, HTU21DF_0 RH[%] 81.92, HTU21DF_0 Tpackage[C] 12.51, D6F-PH0025AD1_0 q[Pa] 3.68, D6F-PH0025AD1_0 Tpackage[C] 10.50, D6F-PH0025AD1_1 q[Pa] 2.84, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.09, MPU6050_0 roll[deg] 3.44, VL53L1X_0 s[m] 0.09, ;
System Uptime[ms] 47527,System VBATTcell0[V] 3.87,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.58,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 1.99,Airdata VTAS[m/s] 1.97,BMP280_0 P[Pa] 99941.66, BMP280_0 Tpackage[C] 13.88, HTU21DF_0 RH[%] 81.75, HTU21DF_0 Tpackage[C] 12.50, D6F-PH0025AD1_0 q[Pa] 3.45, D6F-PH0025AD1_0 Tpackage[C] 10.80, D6F-PH0025AD1_1 q[Pa] 2.00, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.09, MPU6050_0 roll[deg] 3.42, VL53L1X_0 s[m] 0.08, ;
System Uptime[ms] 48191,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.83,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.57,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.28,Airdata VTAS[m/s] 2.26,BMP280_0 P[Pa] 99940.19, BMP280_0 Tpackage[C] 13.87, HTU21DF_0 RH[%] 81.65, HTU21DF_0 Tpackage[C] 12.51, D6F-PH0025AD1_0 q[Pa] 4.99, D6F-PH0025AD1_0 Tpackage[C] 10.80, D6F-PH0025AD1_1 q[Pa] 5.41, D6F-PH0025AD1_1 Tpackage[C] 11.20, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.09, MPU6050_0 roll[deg] 3.43, VL53L1X_0 s[m] 0.09, ;
System Uptime[ms] 48825,System VBATTcell0[V] 3.86,System VBATTcell1[V] 3.82,System VBATTcell2[V] 3.78,Airdata rho[kg/m3] 1.25,Airdata T[C] 5.58,Airdata AoA[deg] nan,Airdata AoS[deg] nan,Airdata VCAS[m/s] 2.56,Airdata VTAS[m/s] 2.54,BMP280_0 P[Pa] 99941.11, BMP280_0 Tpackage[C] 13.88, HTU21DF_0 RH[%] 81.60, HTU21DF_0 Tpackage[C] 12.50, D6F-PH0025AD1_0 q[Pa] 5.09, D6F-PH0025AD1_0 Tpackage[C] 10.80, D6F-PH0025AD1_1 q[Pa] 4.18, D6F-PH0025AD1_1 Tpackage[C] 11.40, D6F-PH0025AD1_2 q[Pa] nan, D6F-PH0025AD1_2 Tpackage[C] nan, MPU6050_0 pitch[deg] 0.06, MPU6050_0 roll[deg] 3.38, VL53L1X_0 s[m] 0.08, ;
